FID,gid,capacity_factor
west_wind_site_metadata.90108,90108,34.1875
west_wind_site_metadata.90109,90109,34.5
west_wind_site_metadata.90110,90110,34.1875
west_wind_site_metadata.90111,90111,23.390625
west_wind_site_metadata.90112,90112,33.375
west_wind_site_metadata.90113,90113,35.15625
west_wind_site_metadata.90114,90114,34.71875
west_wind_site_metadata.90115,90115,35.03125
west_wind_site_metadata.90116,90116,34.78125
west_wind_site_metadata.90117,90117,34.03125
west_wind_site_metadata.90118,90118,24.296875
west_wind_site_metadata.90119,90119,24.6875
west_wind_site_metadata.90120,90120,31.59375
west_wind_site_metadata.90121,90121,33.5625
west_wind_site_metadata.90122,90122,33.625
west_wind_site_metadata.90123,90123,35.21875
west_wind_site_metadata.90124,90124,34.875
west_wind_site_metadata.90125,90125,35.28125
west_wind_site_metadata.90126,90126,35.09375
west_wind_site_metadata.90127,90127,35.03125
west_wind_site_metadata.90128,90128,35.4375
west_wind_site_metadata.90129,90129,24.609375
west_wind_site_metadata.90130,90130,31.953125
west_wind_site_metadata.90131,90131,33.5625
west_wind_site_metadata.90132,90132,33.46875
west_wind_site_metadata.90133,90133,35.125
west_wind_site_metadata.90134,90134,34.875
west_wind_site_metadata.90135,90135,35.46875
west_wind_site_metadata.90136,90136,35.46875
west_wind_site_metadata.90137,90137,35.375
west_wind_site_metadata.90138,90138,35.625
west_wind_site_metadata.90139,90139,34.8125
west_wind_site_metadata.90140,90140,32.40625
west_wind_site_metadata.90141,90141,34.15625
west_wind_site_metadata.90142,90142,34.09375
west_wind_site_metadata.90143,90143,35.53125
west_wind_site_metadata.90144,90144,35.40625
west_wind_site_metadata.90145,90145,35.90625
west_wind_site_metadata.90146,90146,35.25
west_wind_site_metadata.90147,90147,34.21875
west_wind_site_metadata.90148,90148,33.34375
west_wind_site_metadata.90149,90149,32.21875
west_wind_site_metadata.90150,90150,35.375
west_wind_site_metadata.90151,90151,35.625
west_wind_site_metadata.90152,90152,10.921875
west_wind_site_metadata.90153,90153,24.4375
west_wind_site_metadata.90154,90154,29.796875
west_wind_site_metadata.90155,90155,32.34375
west_wind_site_metadata.90156,90156,35
west_wind_site_metadata.90157,90157,34.90625
west_wind_site_metadata.90158,90158,33.9375
west_wind_site_metadata.90159,90159,32.78125
west_wind_site_metadata.90160,90160,31.90625
west_wind_site_metadata.90161,90161,10.90625
west_wind_site_metadata.90162,90162,34.15625
west_wind_site_metadata.90163,90163,33.71875
west_wind_site_metadata.90164,90164,32.96875
west_wind_site_metadata.90165,90165,23.59375
west_wind_site_metadata.90166,90166,23.40625
west_wind_site_metadata.90167,90167,31.125
west_wind_site_metadata.90168,90168,23.078125
west_wind_site_metadata.90169,90169,34.40625
west_wind_site_metadata.90170,90170,31.71875
west_wind_site_metadata.90171,90171,31.4375
west_wind_site_metadata.90172,90172,23.515625
west_wind_site_metadata.90173,90173,33.59375
west_wind_site_metadata.90174,90174,33.375
west_wind_site_metadata.90175,90175,33.15625
west_wind_site_metadata.90176,90176,31.34375
west_wind_site_metadata.90177,90177,31.5
west_wind_site_metadata.90178,90178,30.28125
west_wind_site_metadata.90179,90179,24.734375
west_wind_site_metadata.90180,90180,23.21875
west_wind_site_metadata.90181,90181,23
west_wind_site_metadata.90182,90182,32.1875
west_wind_site_metadata.90183,90183,34.65625
west_wind_site_metadata.90184,90184,34.46875
west_wind_site_metadata.90185,90185,35.15625
west_wind_site_metadata.90186,90186,35.4375
west_wind_site_metadata.90187,90187,32.90625
west_wind_site_metadata.90188,90188,32.40625
west_wind_site_metadata.90189,90189,30.765625
west_wind_site_metadata.90190,90190,30.359375
west_wind_site_metadata.90191,90191,29.265625
west_wind_site_metadata.90192,90192,31.625
west_wind_site_metadata.90193,90193,34.53125
